步骤	问题现象	可能原因	解决方案
45	金刚石上未观察到红色光斑	激光功率过低	提高激光功率；佩戴激光护目镜保护眼睛；尝试将激光光斑聚焦得更集中
	因金刚石上 NV 中心的光致发光（PL），仅观察到红色条纹	激光焦点未对准 NV 层	移动聚焦透镜以调整焦点位置
50	零磁场下无电子自旋共振（ESR）信号	脉冲序列未运行	在示波器上检查脉冲序列，确认所有通道是否处于激活状态
		微波（MW）功率过低	提高微波功率（注意不要超过放大器的最大输入功率）；将激光光斑移至更靠近微波导线的位置；延长脉冲序列总时长
51	ESR 实验中观测到的谱线少于 8 条	并非所有跃迁的振幅都相同，部分跃迁可能较弱	通过旋转 λ/2 波片改变激光偏振方向，调整共振相对强度；提高微波功率（注意不要超过放大器的最大输入功率）
	谱线重叠	观察共振位置的同时，轻微改变磁场方向	
		磁场强度过强	检查磁场是否过强导致共振信号超出可探测频率范围；将磁体分开以降低磁场强度，并在极低磁场下记录光谱
	ESR 实验中未观察到超精细分裂	微波功率过高	降低微波功率，增加采样次数或平均次数
		杂散 B?磁场梯度	将 NV 中心对准磁体之间的激光光斑中心；使用更大尺寸的磁体（直径 > 2cm），并增大磁体间距
		本征 ESR 线宽过宽	高浓度 NV 层中，本征 ESR 线宽可能大于超精细分裂；调整 NV 注入参数；注意：超精细分裂的观测对量子传感方案并非至关重要
54	未观察到拉比（Rabi）振荡	拉比频率过低	将微波脉冲时长延长至 > 1μs，和 / 或提高微波功率（注意不要超过放大器的最大输入功率）；检查微波频率是否设置为 ESR 实验中测得的 NV 共振频率
55	优化激光偏振和光学再极化后，拉比对比度仍较差	背景光 / 荧光干扰	对实验装置进行遮光处理，避免环境光影响
		激光散射	清洁光导和金刚石表面；优化激光光斑在金刚石上的位置
56	拉比频率过低	微波功率过低	提高微波功率（注意不要超过放大器的最大输入功率）
57	拉比实验正常，但未观察到 T?弛豫衰减	正交（IQ）相位控制未开启	开启 IQ 相位控制
	XY8-N 动态解耦序列中未观察到射频（RF）线圈信号	信号过弱	减小射频线圈与金刚石的间距；调整线圈取向，使其产生的磁场 B 与 B?对准；增加线圈匝数；使用射频放大器提高信号强度
59A(v)、59B(v)	XY8-N 衰减曲线或关联光谱中未观察到核自旋信号	信噪比（SNR）不足	增加平均次数；调整 XY8-N 序列的 N 值（N 越大信号越强，但对比度会随 N 增大而降低，需为实验找到最优 N 值）；尝试通过射频线圈产生合成信号（见方框 5），以此判断实验装置的灵敏度和功能是否正常
		样品未与金刚石接触	清洁金刚石并更换样品；表面薄膜和污染物通常会掩盖信号
